Location,URL,overall,Yelp,Google,Lat,Lng,Cost,Hunger,Tortilla,Temp,Uniformity,Synergy,Wrap
Albertacos,https://www.yelp.com/biz/albertacos-san-marcos,3.2,3.5,3.9,33.1395266,-117.1721626,5.25,4,3.5,3,4,3.5,5
Burros and Fries,http://www.burrosandfries.com/,4,3.5,4.1,32.8297288,-117.2050566,6.89,5,3,5,4,4,4.5
Caliente Mexican Food,https://www.yelp.com/biz/caliente-mexican-food-san-diego,3.5,3.5,4.4,32.9161974,-117.2367235,5.56,2.5,2.5,3,4.5,3.3,4.5
Carmen's Mexican Food,https://www.yelp.com/biz/carmens-authentic-mexican-food-san-diego,4,4,4.2,32.8352268,-117.1868331,6.5,5,4.5,4.5,3.5,4,4
Donato's Taco Shop,http://donatostacoshop.net/,4,3.5,4.2,33.0440809,-117.293903,5.99,2,2,4,3,4,2
Goody's,https://www.yelp.com/biz/goodys-place-and-market-la-jolla,2,3.5,4.1,33.0367532,-117.2796615,6.25,4.5,3.5,3,3,1.5,1
Lola's 7 Up Market & Deli,https://www.yelp.com/biz/lolas-7-up-market-and-deli-carlsbad,3,4,4.9,33.157106,-117.3449144,7,3.5,2.5,3,2,3.5,3.5
Lolita's Taco shop,http://lolitasmexicanfood.com/,2.6,4,4.4,33.1422262,-117.2013389,6.25,4,1.5,2.5,2,3.75,3
Los Primos Mexican Food,http://www.primosmex.com/,2,4,3.7,33.4841601,-117.142935,7,4,3.5,3,3,1.5,4
Matador Mexican Food,https://www.yelp.com/biz/matador-mexican-grill-san-diego-1,3,4,4,32.7653159,-117.1963665,6.6,4,4,3.5,3,3.5,4.5
Mr. Ruribertos Taco Shop ,https://www.yelp.com/biz/ruribertos-taco-shop-san-diego,3,4,3.7,32.7721947,-117.2514332,7.75,4,4,4.5,3.5,2,4
Oscar's Mexican food,http://www.yelp.com/biz/oscars-mexican-food-san-marcos,3.75,4,3.3,33.1452281,-117.2003865,5.25,2,3,2,5,4,5
Pollos Maria,http://pollosmaria.com/,3.5,4,3.8,32.7496735,-117.1612401,6.49,3,3.5,4,4,4,4.5
Raul's Mexican food,https://www.yelp.com/biz/rauls-shack-encinitas,1,4,4.2,33.0461712,-117.2941785,5,1,2,2,1,1,4
Rigoberto's Taco Shop,https://www.yelp.com/biz/rigobertos-taco-shop-san-diego-2,4,4,4.4,32.8791407,-117.1673854,6.6,4,4,3.5,4,4.5,4.5
Roberto's Taco Shop Clairemont,https://www.yelp.com/biz/robertos-taco-shop-clairemont-san-diego,3,4,4.2,32.7973995,-117.192783,5.69,3,4,3,4.5,2,4.5
Taco Surf PB,https://www.yelp.com/biz/taco-surf-taco-shop-san-diego,3.7,4,4.6,32.7988776,-117.2560148,6.02,3.2,4.5,2,4.5,3.7,5
Taco Villa,https://www.yelp.com/biz/taco-villa-san-diego,2,4,3.5,32.7038841,-117.1454696,6.99,3,3,4.5,4,2,4
Taco stand,http://letstaco.com/,4.4,4,4.4,32.9903956,-117.2605899,7.89,3.5,3,2,1.5,4.5,4.5
Tacos por favor,https://www.yelp.com/biz/el-dorado-mexican-food-temecula,3.5,4,4.1,32.7520904,-117.0698457,6.85,4,4,5,4,3,3
Valentines Mexican Food,https://www.yelp.com/biz/valentines-mexican-food-san-diego-5,4.2,4,4,32.7166296,-117.1571556,6.75,3,4.5,4.7,4.5,3.5,5
Vallarta express,http://www.vallartaexpress.com/menu/,3.25,4,4,32.8213737,-117.1826061,6.5,3.5,3.75,5,4.5,3,4.5
JV's Mexican Food,http://jvsmexfood.com/,2,4,4.1,32.7686218,-117.2003367,6.25,3.5,2.5,1.5,3,2,4.5
